test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
TCONS_00000001	XLOC_000001	OR4F17	chr19:110678-111596	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000002	XLOC_000002	MADCAM1	chr19:496489-505343	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000003	XLOC_000002	MADCAM1	chr19:496489-505343	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000004	XLOC_000003	TPGS1	chr19:507496-519654	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000005	XLOC_000004	CDC34	chr19:531732-542087	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000006	XLOC_000005	GZMM	chr19:544026-549919	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000007	XLOC_000006	BSG	chr19:571324-583493	Adrena	Brain	NOTEST	34.4514	0	-inf	0	1	1	no
TCONS_00000008	XLOC_000006	BSG	chr19:571324-583493	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000009	XLOC_000006	BSG	chr19:571324-583493	Adrena	Brain	NOTEST	0.0797287	0	-inf	0	1	1	no
TCONS_00000010	XLOC_000007	HCN2	chr19:589892-617159	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000011	XLOC_000008	FGF22	chr19:639925-643604	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000012	XLOC_000009	FSTL3	chr19:676388-683392	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000013	XLOC_000010	PALM	chr19:708952-748330	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000014	XLOC_000010	PALM	chr19:708952-748330	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000015	XLOC_000011	C19orf21	chr19:751145-764318	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000016	XLOC_000012	PTBP1	chr19:797391-812327	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000017	XLOC_000012	PTBP1	chr19:797391-812327	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000018	XLOC_000012	PTBP1	chr19:797391-812327	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000019	XLOC_000012	PTBP1	chr19:797391-812327	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000020	XLOC_000012	MIR4745	chr19:797391-812327	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000021	XLOC_000013	MIR3187	chr19:812517-821952	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000022	XLOC_000014	AZU1	chr19:827830-832017	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000023	XLOC_000015	PRTN3	chr19:840984-848175	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000024	XLOC_000016	ELANE	chr19:852290-856246	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000025	XLOC_000017	CFD	chr19:859664-863610	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000026	XLOC_000018	KISS1R	chr19:917341-921015	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000027	XLOC_000019	ARID3A	chr19:926036-972803	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000028	XLOC_000020	WDR18	chr19:984327-994569	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000029	XLOC_000021	GRIN3B	chr19:1000436-1021141	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000030	XLOC_000022	CNN2	chr19:1026297-1039064	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000031	XLOC_000022	CNN2	chr19:1026297-1039064	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000032	XLOC_000023	ABCA7	chr19:1040101-1065570	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000033	XLOC_000024	HMHA1	chr19:1067173-1095391	Adrena	Brain	NOTEST	5.89481	0	-inf	0	1	1	no
TCONS_00000034	XLOC_000025	GPX4	chr19:1103935-1106787	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000035	XLOC_000025	GPX4	chr19:1103935-1106787	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000036	XLOC_000025	GPX4	chr19:1103935-1106787	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000037	XLOC_000025	GPX4	chr19:1103935-1106787	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000038	XLOC_000026	STK11	chr19:1205797-1228434	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000039	XLOC_000027	ATP5D	chr19:1241748-1244824	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000040	XLOC_000027	ATP5D	chr19:1241748-1244824	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000041	XLOC_000028	MIDN	chr19:1248551-1259142	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000042	XLOC_000029	CIRBP	chr19:1267469-1274809	Adrena	Brain	NOTEST	80.2439	49.4759	-0.697664	0	1	1	no
TCONS_00000043	XLOC_000029	CIRBP	chr19:1267469-1274809	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000044	XLOC_000029	CIRBP	chr19:1267469-1274809	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000045	XLOC_000030	C19orf24	chr19:1275519-1279243	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000046	XLOC_000031	EFNA2	chr19:1286152-1301429	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000047	XLOC_000032	MUM1	chr19:1354975-1378430	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000048	XLOC_000032	MUM1	chr19:1354975-1378430	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000049	XLOC_000032	MUM1	chr19:1354975-1378430	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000050	XLOC_000033	NDUFS7	chr19:1383882-1395588	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000051	XLOC_000034	DAZAP1	chr19:1407583-1435682	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000052	XLOC_000034	DAZAP1	chr19:1407583-1435682	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000053	XLOC_000035	RPS15	chr19:1438362-1440492	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000054	XLOC_000036	APC2	chr19:1450147-1479228	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000055	XLOC_000037	REEP6	chr19:1491164-1497924	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000056	XLOC_000038	PLK5	chr19:1524072-1535455	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000057	XLOC_000039	ONECUT3	chr19:1753661-1775444	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000058	XLOC_000040	LOC100288123	chr19:1815244-1848452	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000059	XLOC_000041	SCAMP4	chr19:1905372-1926012	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000060	XLOC_000041	ADAT3	chr19:1905372-1926012	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000061	XLOC_000042	CSNK1G2	chr19:1941160-1981336	Adrena	Brain	NOTEST	17.7281	0	-inf	0	1	1	no
TCONS_00000062	XLOC_000043	IZUMO4	chr19:2096867-2099583	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000063	XLOC_000043	IZUMO4	chr19:2096867-2099583	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000064	XLOC_000044	DOT1L	chr19:2164147-2232577	Adrena	Brain	NOTEST	6.61862	0	-inf	0	1	1	no
TCONS_00000065	XLOC_000045	SF3A2	chr19:2236815-2248678	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000066	XLOC_000046	AMH	chr19:2249112-2252072	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000067	XLOC_000046	MIR4321	chr19:2249112-2252072	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000068	XLOC_000047	OAZ1	chr19:2269519-2273487	Adrena	Brain	NOTEST	127.031	0	-inf	0	1	1	no
TCONS_00000069	XLOC_000048	SPPL2B	chr19:2328628-2355100	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
